,count,next_count,n,pct
0,0-0,0-1,497283,0.4946612951357804
1,0-0,1-0,375763,0.3737819556351338
2,0-0,0-0,132254,0.13155674922908583
3,0-1,0-2,216593,0.43555279388195456
4,0-1,1-1,194599,0.39132445709988073
5,0-1,0-0,86091,0.1731227490181647
6,0-2,1-2,115201,0.43421280765896497
7,0-2,0-0,101392,0.38216426067619014
8,0-2,0-2,48717,0.1836229316648449
9,1-0,1-1,185944,0.49484382443188923
10,1-0,2-0,130542,0.34740514632893604
11,1-0,0-0,59277,0.1577510292391747
12,1-1,1-2,173810,0.4567420764539093
13,1-1,2-1,130447,0.342791747581745
14,1-1,0-0,76286,0.20046617596434568
15,1-2,0-0,149009,0.40461340031226667
16,1-2,2-2,140002,0.3801561333242821
17,1-2,1-2,79264,0.21523046636345122
18,2-0,2-1,65364,0.500712414395367
19,2-0,3-0,44408,0.3401817039726678
20,2-0,0-0,20770,0.15910588163196518
21,2-1,2-2,94968,0.4849982891665943
22,2-1,3-1,57370,0.2929866044297818
23,2-1,0-0,43473,0.2220151064036239
24,2-2,0-0,140042,0.44741567146535804
25,2-2,3-2,94927,0.303279212273404
26,2-2,2-2,78033,0.24930511626123794
27,3-0,3-1,23830,0.5366150243199423
28,3-0,0-0,20578,0.46338497568005765
29,3-1,0-0,40632,0.5003940886699507
30,3-1,3-2,40568,0.4996059113300493
31,3-2,0-0,135495,0.7180939863371616
32,3-2,3-2,53192,0.28190601366283846
